Date,Actual,Predicted,Forecast
2018-01-01,7198.0,14164.449750414129,
2018-02-01,6017.0,3798.0340866614506,
2018-03-01,4957.0,3169.907361374224,
2018-04-01,5451.0,5814.328922553777,
2018-05-01,4480.0,5807.067703800245,
2018-06-01,6609.0,3918.037085391079,
2018-07-01,4588.0,5172.682613203521,
2018-08-01,6046.0,5002.219424173661,
2018-09-01,3562.0,5088.451634107717,
2018-10-01,4250.0,3904.824984658717,
2018-11-01,2692.0,5296.810382165956,
2018-12-01,8084.0,4244.442970315273,
2019-01-01,8176.0,10375.534063086201,
2019-02-01,3783.0,6870.161138585118,
2019-03-01,22457.0,2214.1408218275774,
2019-04-01,2272.0,12950.590626022518,
2019-05-01,4723.0,12025.760491483632,
2019-06-01,4900.0,4005.647004309199,
2019-07-01,6886.0,4510.703429764612,
2019-08-01,14828.0,5940.962189367229,
2019-09-01,11133.0,8667.509563538086,
2019-10-01,3630.0,12485.557455671722,
2019-11-01,8107.0,7689.565244019411,
2019-12-01,5270.0,8294.570236656871,
2019-12-01,,,9005.2946035758
2020-01-01,,,4494.107007783009
2020-02-01,,,16083.372284126239
2020-03-01,,,3702.5690422340576
2020-04-01,,,4985.307893490079
2020-05-01,,,5839.96711687783
2020-06-01,,,6291.468441549123
2020-07-01,,,11649.864338565869
2020-08-01,,,8445.141379035647
2020-09-01,,,4169.310557764958
2020-10-01,,,6267.163776343113
2020-11-01,,,6676.947124303777
